tamanio,data_c,data_asm
16,384948.313131,271883.232323
32,1194489.010309,691282.164948
64,3012878.574468,2119831.670103
128,10102015.770833,8508299.030303
256,40814032.836735,34366304.416667
512,1.938470e+08,1.670031e+08
